순위,도서명,저자,출판사,가격
1,소년이 온다,한강,창비,"13,500원"
2,채식주의자,한강,창비,"13,500원"
3,작별하지 않는다,한강,문학동네,"15,120원"
4,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,"21,420원"
5,서랍에 저녁을 넣어 두었다,한강,문학과지성사,"10,800원"
6,트렌드 코리아 2025,"김난도,전미영,최지혜,권정윤,한다혜",미래의창,"18,000원"
7,흰,"한강,최진혁",문학동네,"13,050원"
8,산타 할아버지의 첫 크리스마스,"맥 바넷,시드니 스미스,김지은",책읽는곰,"13,500원"
9,희랍어 시간,한강,문학동네,"11,700원"
10,넥서스,"유발 하라리,김명주",김영사,"25,020원"
11,어른의 행복은 조용하다,태수,페이지2북스,"16,020원"
12,트럼프 2.0 시대,박종훈,글로퍼스,"18,000원"
13,트럼프와 함께하는 알트코인 대폭등,강환국,거인의정원,"24,300원"
14,일의 감각,조수용,레퍼런스 바이 비(REFERENCE by B),"19,800원"
15,해피버쓰데이,백희나,스토리보울,"15,300원"
16,고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),고명환,라곰,"15,120원"
17,퓨처 셀프 30만 부 기념 스페셜 에디션,"벤저민 하디,최은아",상상스퀘어,"19,800원"
18,린치핀,"세스 고딘,윤영삼",필름,"21,420원"
19,모순,양귀자,쓰다,"11,700원"
20,김미경의 딥마인드,김미경,어웨이크북스,"16,200원"
21,너에게 들려주는 단단한 말,김종원,퍼스트펭귄,"16,200원"
22,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),"17,820원"
23,세이노의 가르침,세이노(SayNo),데이원,"6,480원"
24,후 who? special 아이브,"조약돌,백재이",다산어린이,"13,500원"
