순위,도서명,가격,출판사,저자
1,소년이 온다,"13,500",창비,한강
2,채식주의자,"13,500",창비,한강
3,작별하지 않는다,"15,120",문학동네,한강
4,하루 한 장 나의 어휘력을 위한 필사 노트,"21,420",위즈덤하우스,유선경
5,서랍에 저녁을 넣어 두었다,"10,800",문학과지성사,한강
6,트렌드 코리아 2025,"18,000",미래의창,"김난도, 전미영, 최지혜, 권정윤, 한다혜"
7,흰,"13,050",문학동네,"한강, 최진혁"
8,산타 할아버지의 첫 크리스마스,"13,500",책읽는곰,"맥 바넷, 시드니 스미스, 김지은"
9,희랍어 시간,"11,700",문학동네,한강
10,넥서스,"25,020",김영사,"유발 하라리, 김명주"
11,어른의 행복은 조용하다,"16,020",페이지2북스,태수
12,트럼프 2.0 시대,"18,000",글로퍼스,박종훈
13,트럼프와 함께하는 알트코인 대폭등,"24,300",거인의정원,강환국
14,일의 감각,"19,800",레퍼런스 바이 비(REFERENCE by B),조수용
15,해피버쓰데이,"15,300",스토리보울,백희나
16,고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),"15,120",라곰,고명환
17,퓨처 셀프 30만 부 기념 스페셜 에디션,"19,800",상상스퀘어,"벤저민 하디, 최은아"
18,린치핀,"21,420",필름,"세스 고딘, 윤영삼"
19,모순,"11,700",쓰다,양귀자
20,김미경의 딥마인드,"16,200",어웨이크북스,김미경
21,너에게 들려주는 단단한 말,"16,200",퍼스트펭귄,김종원
22,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,"17,820",YBM(와이비엠),ETS
23,세이노의 가르침,"6,480",데이원,세이노(SayNo)
24,후 who? special 아이브,"13,500",다산어린이,"조약돌, 백재이"
25,주아쌤의 툭 치면 탁 나오는 영어회화 (특별부록 한정판),"16,920",몽스북,이정은
26,인생의 의미,"16,920",더퀘스트,"토마스 힐란드 에릭센, 이영래"
27,이처럼 사소한 것들,"12,420",다산책방,"클레어 키건, 홍한별"
28,경기도 부동산의 힘,"26,100",에프엔미디어,김학렬
29,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,"17,820",YBM(와이비엠),ETS
30,부모의 어휘력,"17,100",카시오페아,김종원
31,아이에게 들려주는 부모의 예쁜 말 필사노트,"19,800",상상아카데미,김종원
32,대온실 수리 보고서,"16,200",창비,김금희
33,마음의 기술,"18,900",상상스퀘어,"안-엘렌 클레르, 뱅상 트리부, 구영옥"
34,돈의 심리학 (30만 부 기념 스페셜 에디션),"17,820",인플루엔셜,"모건 하우절, 이지연"
35,마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),"15,300",유노북스,강용수
36,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상","14,400",이투스북 ,최태성
37,행동하지 않으면 인생은 바뀌지 않는다,"15,210",현대지성,"브라이언 트레이시, 정지현"
38,주술회전 28 + 2025 A2 캘린더 세트 (한정판),"41,400",서울미디어코믹스(서울문화사),"아쿠타미 게게, 이정운"
39,불변의 법칙,"22,500",서삼독,"모건 하우절, 이수경"
40,언젠가 우리가 같은 별을 바라본다면,"10,800",해결책,차인표
41,흔한남매 과학 탐험대 12 공룡과 화석,"13,320",주니어김영사,"흔한남매, 김언정, 송은경, 임혜영, 김희목"
42,설민석의 한국사 대모험 31,"12,600",단꿈아이,"설민석, 남이담, 정현희, 강석화"
43,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하","13,950",이투스북 ,최태성
44,박태웅의 AI 강의 2025,"16,920",한빛비즈,박태웅
45,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,"19,800",빅피시,이주윤
46,모든 시험에 적용되는 33가지 진짜 공부법,"17,820",다산북스,연수남
47,나는 메트로폴리탄 미술관의 경비원입니다 (20만 부 양장 에디션),"15,750",웅진지식하우스,"패트릭 브링리, 김희정, 조현주"
48,최소한의 한국사,"16,200",프런트페이지,최태성
49,코스모스,"17,910",사이언스북스,"칼 에드워드 세이건, 홍승수"
50,나의 인생만사 답사기,"19,800",창비,유홍준
51,한강 스페셜 에디션,"42,120",문학동네,한강
52,급류,"12,600",민음사,정대건
53,해커스 토익 기출 VOCA (보카),"11,610",해커스어학연구소,David Cho
54,김재우의 기초 영어회화 100,"17,010",상상스퀘어,김재우
55,그의 운명에 대한 아주 개인적인 생각,"15,120",생각의길,유시민
56,당신을 알기 전에는 시 없이도 잘 지냈습니다,"14,400",수오서재,류시화
57,사피엔스,"24,120",김영사,"유발 하라리, 조현욱, 이태수"
58,진짜 쓰는 실무 엑셀,"18,900",제이펍,전진권
59,긴긴밤,"10,350",문학동네,루리
60,조혜련의 잘 보이는 성경이야기,"49,500",오제이엔터스컴,조혜련
61,"바람이 분다, 가라","12,600",문학과지성사,한강
62,작은 땅의 야수들,"16,200",다산책방,"김주혜, 박소현"
63,이상한 과자 가게 전천당 시즌2  : 행운의 갈림길 1,"12,600",길벗스쿨,"히로시마 레이코, 쟈쟈, 김정화"
64,동사×전치사 도감,"17,820",길벗이지톡,권은희
65,백앤아 8,"15,120",샌드박스스토리 키즈,"백앤아, 안도감, 돌만"
66,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),"10,350",현대지성,"데일 카네기, 임상훈"
67,만화로 보는 3분 철학 1,"14,400",카시오페아,"김재훈, 서정욱"
68,불안 세대,"22,320",웅진지식하우스,"조너선 하이트, 이충호"
69,2025 양승아 응급처치학개론 단원별 예상문제 (Always First),"37,800",포러스,양승아
70,천 번을 흔들리며 아이는 어른이 됩니다,"16,020",21세기북스,김붕년
71,사이언스 2025,"25,200",비룡소,"내셔널지오그래픽 키즈, 이한음, 김아림"
72,챗GPT 교사 마스터 플랜,"21,600",책바세,한민철
73,가난한 찰리의 연감,"29,700",김영사,"찰리 멍거, 김태훈, 피터 코프먼"
74,초등 영어 식스,"20,700",북북북,권태형
75,소년과 두더지와 여우와 말,"16,200",상상의힘,"찰리 맥커시, 이진경"
76,무의식은 어떻게 나를 설계하는가,"22,500",알에이치코리아(RHK),"데이비드 이글먼, 김승욱"
77,총 균 쇠,"26,820",김영사,"재레드 다이아몬드, 강주헌"
78,2025 대한민국 교육 키워드,"19,800",21세기북스,"방종임, 이만기"
79,흔한남매 17,"14,220",미래엔아이세움,"흔한남매, 백난도, 유난희, 흔한컴퍼니"
80,머니 트렌드 2025,"22,500",북모먼트,"정태익, 김도윤, 김광석, 김용섭, 김현준"
81,어떤 어른,"16,200",사계절,김소영
82,기어코 반짝일 너에게,"15,120",21세기북스,김규남
83,생각의 해상도를 높여라,"16,020",지니의서재,"곤도 유타카, 명다인"
84,내면소통,"29,700",인플루엔셜,김주환
85,우리는 사랑 안에 살고 있다,"17,820",21세기북스,"유혜주, 조정연"
86,사교육 없이 명문대 가는 집공부 전략,"16,200",북라이프,노을커피(신은정)
87,모든 돈의 미래 비트코인,"25,200",거인의정원,홍익희
88,시대예보 : 호명사회,"19,800",교보문고,송길영
89,윔피 키드 19,"12,600",미래엔아이세움,"제프 키니, 지혜연"
90,라이프 임파서블,"16,200",인플루엔셜,"매트 헤이그, 노진선"
91,이기적 유전자 The Selfish Gene,"18,000",을유문화사,"리처드 도킨스, 홍영남, 이상임"
92,데미안,"7,200",민음사,"헤르만 헤세, 전영애"
93,스킵과 로퍼 9,"5,400",YNKMEDIA,"타카마츠 미사키, 신혜선"
94,하늘에서 눈토끼가 내려요!,"13,500",신나는원숭이,"후이팡 정, 정미애"
95,스스로 공부하는 아이들,"13,500",한경키즈(한국경제신문),"임민찬, 최경식"
96,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,"12,510",해커스어학연구소,해커스 일본어연구소
