Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33268212,P10_subnat_auth_exists,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268213,P10_subnat_auth_exists,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268214,P10_subnat_auth_exists,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268215,P10_subnat_auth_exists,COUNTRY,BIH,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268216,P10_subnat_auth_exists,COUNTRY,DEU,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268217,P10_subnat_auth_exists,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268218,P10_subnat_auth_exists,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268219,P10_subnat_auth_exists,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268220,P10_subnat_auth_exists,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268221,P10_subnat_auth_exists,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268222,P10_subnat_auth_exists,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268223,P10_subnat_auth_exists,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268224,P10_subnat_auth_exists,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268225,P10_subnat_auth_exists,COUNTRY,SVK,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268226,P10_subnat_auth_exists,COUNTRY,HUN,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268227,P10_subnat_auth_exists,COUNTRY,NLD,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268228,P10_subnat_auth_exists,COUNTRY,SMR,EUR,Europe,YEAR,2022,,,,,,,,,Not applicable,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268229,P10_subnat_auth_exists,COUNTRY,DNK,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268230,P10_subnat_auth_exists,COUNTRY,GBR,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268231,P10_subnat_auth_exists,COUNTRY,TJK,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268232,P10_subnat_auth_exists,COUNTRY,ESP,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268233,P10_subnat_auth_exists,COUNTRY,MDA,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268234,P10_subnat_auth_exists,COUNTRY,PRT,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268235,P10_subnat_auth_exists,COUNTRY,MLT,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268236,P10_subnat_auth_exists,COUNTRY,MCO,EUR,Europe,YEAR,2022,,,,,,,,,Not applicable,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268237,P10_subnat_auth_exists,COUNTRY,ISL,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268238,P10_subnat_auth_exists,COUNTRY,ROU,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268239,P10_subnat_auth_exists,COUNTRY,RUS,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268240,P10_subnat_auth_exists,COUNTRY,POL,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268241,P10_subnat_auth_exists,COUNTRY,ISR,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268242,P10_subnat_auth_exists,COUNTRY,FIN,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268243,P10_subnat_auth_exists,COUNTRY,AZE,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268244,P10_subnat_auth_exists,COUNTRY,BEL,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268245,P10_subnat_auth_exists,COUNTRY,BGR,EUR,Europe,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268246,P10_subnat_auth_exists,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268247,P10_subnat_auth_exists,COUNTRY,CHE,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268248,P10_subnat_auth_exists,COUNTRY,ITA,EUR,Europe,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268249,P10_subnat_auth_exists,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,No,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
33268250,P10_subnat_auth_exists,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,Yes,,,,,2023-10-31T14:02:41Z,2022,2022-01-01,2022-12-31
