Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33269651,P11_fines_any,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269652,P11_fines_any,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269653,P11_fines_any,COUNTRY,ISL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269654,P11_fines_any,COUNTRY,MLT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269655,P11_fines_any,COUNTRY,MRT,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269656,P11_fines_any,COUNTRY,PRT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269657,P11_fines_any,COUNTRY,MDA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269658,P11_fines_any,COUNTRY,LVA,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269659,P11_fines_any,COUNTRY,MUS,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269660,P11_fines_any,COUNTRY,MNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269661,P11_fines_any,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269662,P11_fines_any,COUNTRY,LCA,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269688,P11_fines_any,COUNTRY,SGP,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269708,P11_fines_any,COUNTRY,CAN,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2020,2020-01-01,2020-12-31
33269709,P11_fines_any,COUNTRY,CHL,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2020,2020-01-01,2020-12-31
33269710,P11_fines_any,COUNTRY,ESP,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269711,P11_fines_any,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269712,P11_fines_any,COUNTRY,LAO,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269713,P11_fines_any,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269714,P11_fines_any,COUNTRY,NGA,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269715,P11_fines_any,COUNTRY,PLW,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
33269716,P11_fines_any,COUNTRY,PRY,AMR,Americas,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:03Z,2007,2007-01-01,2007-12-31
