Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33269616,P12_fines_establishment,COUNTRY,PRT,EUR,Europe,YEAR,2008,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2008,2008-01-01,2008-12-31
33269617,P12_fines_establishment,COUNTRY,ESP,EUR,Europe,YEAR,2012,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2012,2012-01-01,2012-12-31
33269630,P12_fines_establishment,COUNTRY,CAN,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2020,2020-01-01,2020-12-31
33269631,P12_fines_establishment,COUNTRY,CHL,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2020,2020-01-01,2020-12-31
33269670,P12_fines_establishment,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269671,P12_fines_establishment,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269672,P12_fines_establishment,COUNTRY,ISL,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269673,P12_fines_establishment,COUNTRY,MLT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269674,P12_fines_establishment,COUNTRY,MRT,AFR,Africa,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269675,P12_fines_establishment,COUNTRY,MCO,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269676,P12_fines_establishment,COUNTRY,PRT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269677,P12_fines_establishment,COUNTRY,MDA,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269678,P12_fines_establishment,COUNTRY,LVA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269679,P12_fines_establishment,COUNTRY,LBR,AFR,Africa,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269680,P12_fines_establishment,COUNTRY,MUS,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269681,P12_fines_establishment,COUNTRY,MNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269682,P12_fines_establishment,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269683,P12_fines_establishment,COUNTRY,LCA,AMR,Americas,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269801,P12_fines_establishment,COUNTRY,CHN,WPR,Western Pacific,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269832,P12_fines_establishment,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269833,P12_fines_establishment,COUNTRY,DZA,AFR,Africa,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269834,P12_fines_establishment,COUNTRY,AZE,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269835,P12_fines_establishment,COUNTRY,BRB,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269836,P12_fines_establishment,COUNTRY,BEL,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269843,P12_fines_establishment,COUNTRY,SMR,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:04Z,2007,2007-01-01,2007-12-31
