Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33269577,P13_fines_smoker,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269579,P13_fines_smoker,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269581,P13_fines_smoker,COUNTRY,ISL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269583,P13_fines_smoker,COUNTRY,MLT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269585,P13_fines_smoker,COUNTRY,MRT,AFR,Africa,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269587,P13_fines_smoker,COUNTRY,MCO,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269588,P13_fines_smoker,COUNTRY,PRT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269590,P13_fines_smoker,COUNTRY,MDA,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269592,P13_fines_smoker,COUNTRY,LVA,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269641,P13_fines_smoker,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2016,2016-01-01,2016-12-31
33269642,P13_fines_smoker,COUNTRY,LBR,AFR,Africa,YEAR,2007,,,,,,,,,Not applicable,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269643,P13_fines_smoker,COUNTRY,MUS,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269645,P13_fines_smoker,COUNTRY,MNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
