Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33269614,P14_funds_for_enforce,COUNTRY,CAN,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2020,2020-01-01,2020-12-31
33269615,P14_funds_for_enforce,COUNTRY,CHL,AMR,Americas,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2020,2020-01-01,2020-12-31
33269618,P14_funds_for_enforce,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269619,P14_funds_for_enforce,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269620,P14_funds_for_enforce,COUNTRY,ISL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269621,P14_funds_for_enforce,COUNTRY,MLT,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269622,P14_funds_for_enforce,COUNTRY,MRT,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269623,P14_funds_for_enforce,COUNTRY,PRT,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269624,P14_funds_for_enforce,COUNTRY,MDA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269625,P14_funds_for_enforce,COUNTRY,LVA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269626,P14_funds_for_enforce,COUNTRY,MUS,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269627,P14_funds_for_enforce,COUNTRY,MNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269628,P14_funds_for_enforce,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269629,P14_funds_for_enforce,COUNTRY,LCA,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269785,P14_funds_for_enforce,COUNTRY,CHN,WPR,Western Pacific,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:03Z,2020,2020-01-01,2020-12-31
33269837,P14_funds_for_enforce,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269838,P14_funds_for_enforce,COUNTRY,DZA,AFR,Africa,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269839,P14_funds_for_enforce,COUNTRY,AZE,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269840,P14_funds_for_enforce,COUNTRY,BRB,AMR,Americas,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269841,P14_funds_for_enforce,COUNTRY,BEL,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269857,P14_funds_for_enforce,COUNTRY,ARG,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269858,P14_funds_for_enforce,COUNTRY,AUT,EUR,Europe,YEAR,2020,,,,,,,,,No,,,,,2023-10-31T14:03:04Z,2020,2020-01-01,2020-12-31
33269961,P14_funds_for_enforce,COUNTRY,PRT,EUR,Europe,YEAR,2008,,,,,,,,,No,,,,,2023-10-31T14:03:06Z,2008,2008-01-01,2008-12-31
33269962,P14_funds_for_enforce,COUNTRY,ESP,EUR,Europe,YEAR,2012,,,,,,,,,No,,,,,2023-10-31T14:03:06Z,2012,2012-01-01,2012-12-31
