Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33269578,P15_complaints,COUNTRY,IND,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269580,P15_complaints,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269582,P15_complaints,COUNTRY,ISL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269584,P15_complaints,COUNTRY,MLT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269586,P15_complaints,COUNTRY,MRT,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269589,P15_complaints,COUNTRY,PRT,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269591,P15_complaints,COUNTRY,MDA,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269593,P15_complaints,COUNTRY,LVA,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:01Z,2007,2007-01-01,2007-12-31
33269644,P15_complaints,COUNTRY,MUS,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269646,P15_complaints,COUNTRY,MNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269648,P15_complaints,COUNTRY,PNG,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
33269650,P15_complaints,COUNTRY,LCA,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-31T14:03:02Z,2007,2007-01-01,2007-12-31
