Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32845887,P1_healthcare,COUNTRY,FIN,EUR,Europe,YEAR,2016,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T19:01:13Z,2016,2016-01-01,2016-12-31
32845888,P1_healthcare,COUNTRY,BEL,EUR,Europe,YEAR,2016,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T19:01:13Z,2016,2016-01-01,2016-12-31
32845889,P1_healthcare,COUNTRY,MCO,EUR,Europe,YEAR,2016,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T19:01:13Z,2016,2016-01-01,2016-12-31
32845890,P1_healthcare,COUNTRY,BLR,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845891,P1_healthcare,COUNTRY,AGO,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845892,P1_healthcare,COUNTRY,BLZ,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845893,P1_healthcare,COUNTRY,BEN,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845894,P1_healthcare,COUNTRY,BWA,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845895,P1_healthcare,COUNTRY,SSD,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845896,P1_healthcare,COUNTRY,VUT,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32845897,P1_healthcare,COUNTRY,BIH,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:13Z,2007,2007-01-01,2007-12-31
32846113,P1_healthcare,COUNTRY,CAN,AMR,Americas,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846114,P1_healthcare,COUNTRY,BRA,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846115,P1_healthcare,COUNTRY,BFA,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846116,P1_healthcare,COUNTRY,CMR,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846117,P1_healthcare,COUNTRY,COL,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846118,P1_healthcare,COUNTRY,COG,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846119,P1_healthcare,COUNTRY,CIV,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
32846120,P1_healthcare,COUNTRY,AUS,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T19:01:17Z,2007,2007-01-01,2007-12-31
