Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32796298,P2_education,COUNTRY,ITA,EUR,Europe,YEAR,2010,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:47:12Z,2010,2010-01-01,2010-12-31
32796299,P2_education,COUNTRY,ITA,EUR,Europe,YEAR,2012,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:47:12Z,2012,2012-01-01,2012-12-31
32796300,P2_education,COUNTRY,GHA,AFR,Africa,YEAR,2020,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:47:12Z,2020,2020-01-01,2020-12-31
32796301,P2_education,COUNTRY,COK,WPR,Western Pacific,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2016,2016-01-01,2016-12-31
32796302,P2_education,COUNTRY,SVK,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2020,2020-01-01,2020-12-31
32796303,P2_education,COUNTRY,AND,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2020,2020-01-01,2020-12-31
32796304,P2_education,COUNTRY,TGO,AFR,Africa,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2020,2020-01-01,2020-12-31
32796305,P2_education,COUNTRY,ITA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:47:12Z,2007,2007-01-01,2007-12-31
32796306,P2_education,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2007,2007-01-01,2007-12-31
32796307,P2_education,COUNTRY,CZE,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:12Z,2007,2007-01-01,2007-12-31
32796308,P2_education,COUNTRY,KHM,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:12Z,2007,2007-01-01,2007-12-31
32796571,P2_education,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796572,P2_education,COUNTRY,BGR,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796573,P2_education,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796574,P2_education,COUNTRY,COD,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796575,P2_education,COUNTRY,TUV,WPR,Western Pacific,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796576,P2_education,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796577,P2_education,COUNTRY,ITA,EUR,Europe,YEAR,2014,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:47:16Z,2014,2014-01-01,2014-12-31
32796578,P2_education,COUNTRY,COK,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796579,P2_education,COUNTRY,GHA,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2014,2014-01-01,2014-12-31
32796580,P2_education,COUNTRY,CHN,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796581,P2_education,COUNTRY,BDI,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796582,P2_education,COUNTRY,CUB,AMR,Americas,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796583,P2_education,COUNTRY,BOL,AMR,Americas,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796584,P2_education,COUNTRY,BHS,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796585,P2_education,COUNTRY,CPV,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796586,P2_education,COUNTRY,BRB,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796587,P2_education,COUNTRY,BEL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796588,P2_education,COUNTRY,CRI,AMR,Americas,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796589,P2_education,COUNTRY,DZA,AFR,Africa,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2007,2007-01-01,2007-12-31
32796590,P2_education,COUNTRY,BLR,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796591,P2_education,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796592,P2_education,COUNTRY,CAN,AMR,Americas,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796593,P2_education,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796594,P2_education,COUNTRY,COL,AMR,Americas,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796595,P2_education,COUNTRY,CIV,AFR,Africa,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796596,P2_education,COUNTRY,BRB,AMR,Americas,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796597,P2_education,COUNTRY,CMR,AFR,Africa,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796598,P2_education,COUNTRY,BFA,AFR,Africa,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796599,P2_education,COUNTRY,DZA,AFR,Africa,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
32796600,P2_education,COUNTRY,AUS,WPR,Western Pacific,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T18:47:16Z,2018,2018-01-01,2018-12-31
