Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33030076,P3_universities,COUNTRY,ARM,EUR,Europe,YEAR,2018,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2018,2018-01-01,2018-12-31
33030077,P3_universities,COUNTRY,BLR,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2018,2018-01-01,2018-12-31
33030078,P3_universities,COUNTRY,BHS,AMR,Americas,YEAR,2018,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2018,2018-01-01,2018-12-31
33030079,P3_universities,COUNTRY,ARM,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2020,2020-01-01,2020-12-31
33030080,P3_universities,COUNTRY,SMR,EUR,Europe,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030081,P3_universities,COUNTRY,BIH,EUR,Europe,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030082,P3_universities,COUNTRY,SGP,WPR,Western Pacific,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030083,P3_universities,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030084,P3_universities,COUNTRY,ESP,EUR,Europe,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030085,P3_universities,COUNTRY,SYC,AFR,Africa,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030086,P3_universities,COUNTRY,ZAF,AFR,Africa,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2010,2010-01-01,2010-12-31
33030087,P3_universities,COUNTRY,ZAF,AFR,Africa,YEAR,2020,,,,,,,,,No,,,,,2023-10-17T19:53:13Z,2020,2020-01-01,2020-12-31
