Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32826577,P4_govt,COUNTRY,MOZ,AFR,Africa,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826578,P4_govt,COUNTRY,GNQ,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826579,P4_govt,COUNTRY,VCT,AMR,Americas,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826580,P4_govt,COUNTRY,MWI,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826581,P4_govt,COUNTRY,MYS,WPR,Western Pacific,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826582,P4_govt,COUNTRY,GAB,AFR,Africa,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826583,P4_govt,COUNTRY,JPN,WPR,Western Pacific,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826584,P4_govt,COUNTRY,MLI,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826585,P4_govt,COUNTRY,FIN,EUR,Europe,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2014,2014-01-01,2014-12-31
32826586,P4_govt,COUNTRY,SWE,EUR,Europe,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T18:55:50Z,2016,2016-01-01,2016-12-31
32826587,P4_govt,COUNTRY,WSM,WPR,Western Pacific,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T18:55:50Z,2016,2016-01-01,2016-12-31
32826588,P4_govt,COUNTRY,SYC,AFR,Africa,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T18:55:50Z,2016,2016-01-01,2016-12-31
32826589,P4_govt,COUNTRY,SMR,EUR,Europe,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T18:55:50Z,2016,2016-01-01,2016-12-31
