Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33001421,P5_indoor_off,COUNTRY,STP,AFR,Africa,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:12Z,2016,2016-01-01,2016-12-31
33001510,P5_indoor_off,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001511,P5_indoor_off,COUNTRY,USA,AMR,Americas,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001512,P5_indoor_off,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001513,P5_indoor_off,COUNTRY,AGO,AFR,Africa,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001514,P5_indoor_off,COUNTRY,SLB,WPR,Western Pacific,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001515,P5_indoor_off,COUNTRY,HUN,EUR,Europe,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001516,P5_indoor_off,COUNTRY,TGO,AFR,Africa,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001517,P5_indoor_off,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001518,P5_indoor_off,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2016,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001519,P5_indoor_off,COUNTRY,LAO,WPR,Western Pacific,YEAR,2016,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2016,2016-01-01,2016-12-31
33001520,P5_indoor_off,COUNTRY,BRN,WPR,Western Pacific,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001521,P5_indoor_off,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001522,P5_indoor_off,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001523,P5_indoor_off,COUNTRY,TKM,EUR,Europe,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001524,P5_indoor_off,COUNTRY,SLB,WPR,Western Pacific,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001525,P5_indoor_off,COUNTRY,UGA,AFR,Africa,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001526,P5_indoor_off,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001527,P5_indoor_off,COUNTRY,TCD,AFR,Africa,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001528,P5_indoor_off,COUNTRY,TZA,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001529,P5_indoor_off,COUNTRY,JAM,AMR,Americas,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001530,P5_indoor_off,COUNTRY,AUS,WPR,Western Pacific,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2014,2014-01-01,2014-12-31
33001531,P5_indoor_off,COUNTRY,FJI,WPR,Western Pacific,YEAR,2008,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2008,2008-01-01,2008-12-31
33001532,P5_indoor_off,COUNTRY,FIN,EUR,Europe,YEAR,2008,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2008,2008-01-01,2008-12-31
33001533,P5_indoor_off,COUNTRY,UGA,AFR,Africa,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2010,2010-01-01,2010-12-31
33001534,P5_indoor_off,COUNTRY,IND,SEAR,South-East Asia,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:45:13Z,2010,2010-01-01,2010-12-31
33001535,P5_indoor_off,COUNTRY,GUY,AMR,Americas,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2010,2010-01-01,2010-12-31
33001536,P5_indoor_off,COUNTRY,LVA,EUR,Europe,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T19:45:13Z,2010,2010-01-01,2010-12-31
