Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32757782,P6_restaurants,COUNTRY,COM,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:35:53Z,2007,2007-01-01,2007-12-31
32757783,P6_restaurants,COUNTRY,DZA,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:35:53Z,2007,2007-01-01,2007-12-31
32757784,P6_restaurants,COUNTRY,BRB,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:35:53Z,2007,2007-01-01,2007-12-31
32757785,P6_restaurants,COUNTRY,BEL,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:35:53Z,2007,2007-01-01,2007-12-31
32758060,P6_restaurants,COUNTRY,BHS,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758061,P6_restaurants,COUNTRY,CPV,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758062,P6_restaurants,COUNTRY,CHN,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758063,P6_restaurants,COUNTRY,BOL,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758064,P6_restaurants,COUNTRY,BDI,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758065,P6_restaurants,COUNTRY,COK,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758066,P6_restaurants,COUNTRY,CUB,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758067,P6_restaurants,COUNTRY,UGA,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2007,2007-01-01,2007-12-31
32758068,P6_restaurants,COUNTRY,GHA,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T18:36:00Z,2014,2014-01-01,2014-12-31
32758069,P6_restaurants,COUNTRY,MEX,AMR,Americas,YEAR,2014,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2014,2014-01-01,2014-12-31
32758070,P6_restaurants,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758071,P6_restaurants,COUNTRY,HRV,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758072,P6_restaurants,COUNTRY,MCO,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758073,P6_restaurants,COUNTRY,SMR,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758074,P6_restaurants,COUNTRY,PRT,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758075,P6_restaurants,COUNTRY,BEL,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:00Z,2018,2018-01-01,2018-12-31
32758076,P6_restaurants,COUNTRY,ETH,AFR,Africa,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2018,2018-01-01,2018-12-31
32758077,P6_restaurants,COUNTRY,LUX,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2018,2018-01-01,2018-12-31
32758078,P6_restaurants,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2018,2018-01-01,2018-12-31
32758079,P6_restaurants,COUNTRY,ITA,EUR,Europe,YEAR,2018,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2018,2018-01-01,2018-12-31
32758080,P6_restaurants,COUNTRY,FRA,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2007,2007-01-01,2007-12-31
32758081,P6_restaurants,COUNTRY,SVN,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,Separate enclosed smoking rooms are allowed,2023-10-17T18:36:01Z,2007,2007-01-01,2007-12-31
