Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32784904,P7_pubs,COUNTRY,HND,AMR,Americas,YEAR,2020,,,,,,,,,Yes,,,,,2023-10-17T18:43:38Z,2020,2020-01-01,2020-12-31
32784905,P7_pubs,COUNTRY,SWE,EUR,Europe,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784906,P7_pubs,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784907,P7_pubs,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784908,P7_pubs,COUNTRY,CRI,AMR,Americas,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784909,P7_pubs,COUNTRY,TJK,EUR,Europe,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784910,P7_pubs,COUNTRY,TON,WPR,Western Pacific,YEAR,2010,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2010,2010-01-01,2010-12-31
32784911,P7_pubs,COUNTRY,IRL,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784912,P7_pubs,COUNTRY,EST,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784913,P7_pubs,COUNTRY,FJI,WPR,Western Pacific,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784914,P7_pubs,COUNTRY,FIN,EUR,Europe,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784915,P7_pubs,COUNTRY,GRD,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784916,P7_pubs,COUNTRY,HTI,AMR,Americas,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784917,P7_pubs,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
32784918,P7_pubs,COUNTRY,GIN,AFR,Africa,YEAR,2007,,,,,,,,,No,,,,,2023-10-17T18:43:38Z,2007,2007-01-01,2007-12-31
