Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
32893231,P8_pub_transp,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893232,P8_pub_transp,COUNTRY,DOM,AMR,Americas,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893233,P8_pub_transp,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893234,P8_pub_transp,COUNTRY,ECU,AMR,Americas,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893235,P8_pub_transp,COUNTRY,KEN,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893236,P8_pub_transp,COUNTRY,LSO,AFR,Africa,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893237,P8_pub_transp,COUNTRY,GRC,EUR,Europe,YEAR,2014,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893238,P8_pub_transp,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,No,,,,,2023-10-17T19:14:57Z,2014,2014-01-01,2014-12-31
32893239,P8_pub_transp,COUNTRY,CHN,WPR,Western Pacific,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2010,2010-01-01,2010-12-31
32893240,P8_pub_transp,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2010,2010-01-01,2010-12-31
32893241,P8_pub_transp,COUNTRY,WSM,WPR,Western Pacific,YEAR,2012,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2012,2012-01-01,2012-12-31
32893242,P8_pub_transp,COUNTRY,SLE,AFR,Africa,YEAR,2012,,,,,,,,,No,,,,,2023-10-17T19:14:57Z,2012,2012-01-01,2012-12-31
32893243,P8_pub_transp,COUNTRY,COL,AMR,Americas,YEAR,2010,,,,,,,,,Yes,,,,,2023-10-17T19:14:57Z,2010,2010-01-01,2010-12-31
