Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
29871087,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2007,2007-01-01,2007-12-31
29871088,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2008,2008-01-01,2008-12-31
29871089,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2010,2010-01-01,2010-12-31
29871090,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2012,2012-01-01,2012-12-31
29871091,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2014,2014-01-01,2014-12-31
29871092,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,No,,,,,2022-09-29T12:13:35Z,2016,2016-01-01,2016-12-31
29871093,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,No,,,,,2022-09-29T12:13:35Z,2018,2018-01-01,2018-12-31
29871094,P9_all_other,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,No,,,,,2022-09-29T12:13:35Z,2020,2020-01-01,2020-12-31
29871095,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2007,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2007,2007-01-01,2007-12-31
29871096,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2008,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2008,2008-01-01,2008-12-31
29871097,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2010,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2010,2010-01-01,2010-12-31
29871098,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2012,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2012,2012-01-01,2012-12-31
29871099,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2014,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2014,2014-01-01,2014-12-31
29871100,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2016,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2016,2016-01-01,2016-12-31
29871101,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2018,2018-01-01,2018-12-31
29871102,P9_all_other,COUNTRY,AGO,AFR,Africa,YEAR,2020,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2020,2020-01-01,2020-12-31
29871103,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2007,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2007,2007-01-01,2007-12-31
29871104,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2008,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2008,2008-01-01,2008-12-31
29871105,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2010,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2010,2010-01-01,2010-12-31
29871106,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2012,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2012,2012-01-01,2012-12-31
29871107,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2014,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2014,2014-01-01,2014-12-31
29871108,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2016,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2016,2016-01-01,2016-12-31
29871109,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2018,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2018,2018-01-01,2018-12-31
29871110,P9_all_other,COUNTRY,ALB,EUR,Europe,YEAR,2020,,,,,,,,,Yes,,,,,2022-09-29T12:13:35Z,2020,2020-01-01,2020-12-31
29871111,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2007,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2007,2007-01-01,2007-12-31
29871112,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2008,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2008,2008-01-01,2008-12-31
29871113,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2010,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2010,2010-01-01,2010-12-31
29871114,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2012,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:35Z,2012,2012-01-01,2012-12-31
29871115,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2014,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2014,2014-01-01,2014-12-31
29871116,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2016,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2016,2016-01-01,2016-12-31
29871117,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2018,2018-01-01,2018-12-31
29871118,P9_all_other,COUNTRY,AND,EUR,Europe,YEAR,2020,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2020,2020-01-01,2020-12-31
29871119,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2007,2007-01-01,2007-12-31
29871120,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2008,2008-01-01,2008-12-31
29871121,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2010,2010-01-01,2010-12-31
29871122,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2012,2012-01-01,2012-12-31
29871123,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2014,2014-01-01,2014-12-31
29871124,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2016,2016-01-01,2016-12-31
29871125,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2018,2018-01-01,2018-12-31
29871126,P9_all_other,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2020,2020-01-01,2020-12-31
29871127,P9_all_other,COUNTRY,ARG,AMR,Americas,YEAR,2007,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2007,2007-01-01,2007-12-31
29871128,P9_all_other,COUNTRY,ARG,AMR,Americas,YEAR,2008,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2008,2008-01-01,2008-12-31
29871129,P9_all_other,COUNTRY,ARG,AMR,Americas,YEAR,2010,,,,,,,,,Not applicable,,,,,2022-09-29T12:13:36Z,2010,2010-01-01,2010-12-31
