Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
22530343,P_comprehensive_subnat,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530344,P_comprehensive_subnat,COUNTRY,AGO,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530345,P_comprehensive_subnat,COUNTRY,ALB,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530346,P_comprehensive_subnat,COUNTRY,AND,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530347,P_comprehensive_subnat,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,Yes,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530348,P_comprehensive_subnat,COUNTRY,ARG,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530349,P_comprehensive_subnat,COUNTRY,ARM,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530350,P_comprehensive_subnat,COUNTRY,ATG,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530351,P_comprehensive_subnat,COUNTRY,AUS,WPR,Western Pacific,YEAR,2018,,,,,,,,,Yes,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530352,P_comprehensive_subnat,COUNTRY,AUT,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530353,P_comprehensive_subnat,COUNTRY,AZE,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530354,P_comprehensive_subnat,COUNTRY,BDI,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530355,P_comprehensive_subnat,COUNTRY,BEL,EUR,Europe,YEAR,2018,,,,,,,,,Yes,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530356,P_comprehensive_subnat,COUNTRY,BEN,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530357,P_comprehensive_subnat,COUNTRY,BFA,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530358,P_comprehensive_subnat,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530359,P_comprehensive_subnat,COUNTRY,BGR,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530360,P_comprehensive_subnat,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530361,P_comprehensive_subnat,COUNTRY,BHS,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530362,P_comprehensive_subnat,COUNTRY,BIH,EUR,Europe,YEAR,2018,,,,,,,,,Yes,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530363,P_comprehensive_subnat,COUNTRY,BLR,EUR,Europe,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530364,P_comprehensive_subnat,COUNTRY,BLZ,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530365,P_comprehensive_subnat,COUNTRY,BOL,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530366,P_comprehensive_subnat,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:04Z,2018,2018-01-01,2018-12-31
22530367,P_comprehensive_subnat,COUNTRY,BRB,AMR,Americas,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:05Z,2018,2018-01-01,2018-12-31
22530368,P_comprehensive_subnat,COUNTRY,BRN,WPR,Western Pacific,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:05Z,2018,2018-01-01,2018-12-31
22530369,P_comprehensive_subnat,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:05Z,2018,2018-01-01,2018-12-31
22530370,P_comprehensive_subnat,COUNTRY,BWA,AFR,Africa,YEAR,2018,,,,,,,,,Not applicable,,,,,2020-05-28T08:26:05Z,2018,2018-01-01,2018-12-31
