Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
33268713,P_count_places_sf,COUNTRY,MLI,AFR,Africa,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268714,P_count_places_sf,COUNTRY,KNA,AMR,Americas,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268715,P_count_places_sf,COUNTRY,GNB,AFR,Africa,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268716,P_count_places_sf,COUNTRY,MRT,AFR,Africa,YEAR,2022,,,,,,,,,2,2,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268717,P_count_places_sf,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268718,P_count_places_sf,COUNTRY,COM,AFR,Africa,YEAR,2022,,,,,,,,,5,5,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268719,P_count_places_sf,COUNTRY,CRI,AMR,Americas,YEAR,2022,,,,,,,,,8,8,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268720,P_count_places_sf,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,8,8,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268721,P_count_places_sf,COUNTRY,SLV,AMR,Americas,YEAR,2022,,,,,,,,,8,8,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268722,P_count_places_sf,COUNTRY,SSD,AFR,Africa,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268723,P_count_places_sf,COUNTRY,VUT,WPR,Western Pacific,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
33268724,P_count_places_sf,COUNTRY,LBR,AFR,Africa,YEAR,2022,,,,,,,,,0,0,,,,2023-10-31T14:02:49Z,2022,2022-01-01,2022-12-31
