IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Youth_survey_title,Title of most recent adolescent survey,text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,,,,Korea Youth Risk Behavior Web-based Survey,,,EN,2023-12-07 00:00:00
Youth_svy_national,Representativeness of most recent adolescent survey,text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,,,,National,812,,EN,2023-12-07 00:00:00
Youth_svy_age_range,Age range of most recent adolescent survey,text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,,,,,,,,,,,,,,,,13,,18,13-18,,,EN,2023-12-07 00:00:00
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_curr_tob_smoking,Prevalence of current tobacco smoking among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_curr_tob_smoking,Prevalence of current tobacco smoking among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_curr_tob_smoking,Prevalence of current tobacco smoking among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_daily_tob_smoking,Prevalence of daily tobacco smoking among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
Yth_daily_tob_smoking,Prevalence of daily tobacco smoking among adolescents (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-07 00:00:00
