자치구,구분,위치,상세위치,규모(제곱미터),설치주체,운영관리
서울특별시 관악구,개방형,서울특별시 관악구 남부순환로 1636,에이치플러스양지병원 옥상,10,양지병원,양지병원
서울특별시 관악구,완전폐쇄형,서울특별시 관악구 봉천로 209,롯데백화점 관악점 건물뒷편,16,롯데백화점,롯데백화점
서울특별시 관악구,완전폐쇄형,서울특별시 관악구 관악로 145,관악구청 2층 테라스,9,서울특별시 관악구청,서울특별시 관악구청
서울특별시 관악구,개방형,서울특별시 관악구 관악로 145,관악구청 9층 옥상,17,서울특별시 관악구청,서울특별시 관악구청
서울특별시 관악구,개방형,서울특별시 관악구 관악로 145,관악구의회 6층 옥상,11,서울특별시 관악구청,서울특별시 관악구청
서울특별시 관악구,개방형,서울특별시 관악구 관악로 145,관악구 보건소 6층 옥상,12,서울특별시 관악구청,서울특별시 관악구청
서울특별시 관악구,폐쇄형,서울특별시 관악구 남부순환로234길 73,싱글벙글센터 뒷편,6,서울특별시 관악구청,서울특별시 관악구청
서울특별시 관악구,완전폐쇄형,서울특별시 관악구 관악구 신림로3길 35,관악문화관도서관,3,관악문화관도서관,관악문화관도서관
서울특별시 관악구,개방형,서울특별시 관악구 관악로 242,강남고려병원 주차장,6,강남고려병원,강남고려병원
서울특별시 관악구,개방형,서울특별시 관악구 신림로 330 ,타임스트림 옥상,10,타임스트림 관리단,타임스트림 관리단
서울특별시 관악구,개방형,서울특별시 관악구 승방4길 14,krtc 옥상,10,krtc,krtc
서울특별시 관악구,개방형,서울특별시 관악구 신림로 340,르네상스쇼핑몰,10,르네상스쇼핑몰관리단,르네상스쇼핑몰관리단
