연번,자치구,시설구분,시설형태,설치위치,설치위치 상세,규모(㎡),설치월,설치주체,관리여부,관리기관,데이터기준일
1,서대문구,청사,완전폐쇄형,서울특별시 서대문구 연희로248,옥상,35,,서대문구청,Y,서대문구청,2020-10-07
2,서대문구,청사,개방형,서울특별시 서대문구 연희로248,1층 정자,25,,서대문구청,Y,서대문구청,2020-10-07
3,서대문구,청사,개방형,서울특별시 서대문구 연희로182,서대문소방서 3층 테라스,25,06-Jun,서대문소방서,Y,서대문소방서,2020-10-07
4,서대문구,청사,개방형,서울특별시 서대문구 서소문로51,1층,9,15-Oct,상수도사업본부,Y,상수도사업본부,2020-10-07
5,서대문구,청사,개방형,서울특별시 서대문구 성산로20길 9,4층 테라스,9,12-Dec,서대문우체국,Y,서대문우체국,2020-10-07
6,서대문구,청사,개방형,서울특별시 서대문구 성산로20길 9,2층 실외,15,12-Dec,서대문우체국,Y,서대문우체국,2020-10-07
7,서대문구,청사,개방형,서울특별시 서대문구 성산로20길 9,1층,8,12-Dec,서대문우체국,Y,서대문우체국,2020-10-07
8,서대문구,청사,개방형,서울특별시 서대문구 통일로113,1층,5,11-Jan,서대문경찰서,Y,서대문경찰서,2020-10-07
9,서대문구,청사,완전폐쇄형,서울특별시 서대문구 통일로97,1층,5,,경찰청,Y,경찰청,2020-10-07
10,서대문구,청사,개방형,서울특별시 서대문구 충정로36,1층,15,,국민연금공단,Y,국민연금공단,2020-10-07
11,서대문구,청사,개방형,서울특별시 서대문구 충정로60,1층,25,11-Sep,KT&G,Y,KT&G,2020-10-07
12,서대문구,청사,개방형,서울특별시 서대문구 충정로60,1층,20,11-Sep,KT&G,Y,KT&G,2020-10-07
13,서대문구,의료기관,완전폐쇄형,서울특별시 서대문구 연세로50-1,장례식장1층,50,,연세세브란스병원,Y,연세세브란스병원,2020-10-07
14,서대문구,대학교,개방형,서울특별시 서대문구 경기대로44,평생교육원 옥상,18,,경기대학교,Y,경기대학교,2020-10-07
15,서대문구,대학교,폐쇄형,서울특별시 서대문구 통일로37길 51,1층,12,17-Jan,디지털서울문화예술대,Y,디지털서울문화예술대,2020-10-07
16,서대문구,대학교,개방형,서울특별시 서대문구 가좌로134,1층 체육관 옆,12,,명지전문대,Y,명지전문대,2020-10-07
17,서대문구,대학교,완전폐쇄형,서울특별시 서대문구 거북골로34,명지대1층 기숙사 옆,15,,명지대,Y,명지대,2020-10-07
18,서대문구,학원,개방형,서울특별시 서대문구 신촌로197,5층(외부),20,,한국방송예술진흥원,Y,한국방송예술진흥원,2020-10-07
19,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 응암로121,KT가좌지사 1층 주차장,12,15-Jan,KT가좌지사,Y,KT가좌지사,2020-10-07
20,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 성산로321,지오영빌딩 1층 테라스,22,15-Jan,지오영빌딩,Y,지오영빌딩,2020-10-07
21,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 성산로263,영화의료기빌딩 옥상,6,12-Oct,영화의료기빌딩,Y,영화의료기빌딩,2020-10-07
22,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 수색로56,성공타워 옥상,8,14-Dec,성공타워,Y,성공타워,2020-10-07
23,서대문구,"1,000㎡이상 건축물",폐쇄형,서울특별시 서대문구 경기대로47,진양빌딩 2층 외부,10,,진양빌딩,Y,진양빌딩,2020-10-07
24,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 경기대로9,KT아현지사 1층 주차장,6,18-Oct,KT아현지사,Y,KT아현지사,2020-10-07
25,서대문구,"1,000㎡이상 건축물",폐쇄형,서울특별시 서대문구 충정로29,동아일보사 1층 주차장,15,14-May,동아일보,Y,동아일보,2020-10-07
26,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 통일로135,충정빌딩 옥상,25,16-Mar,충정빌딩,Y,충정빌딩,2020-10-07
27,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 충정로70,웨스트게이트타워 옥상,50,11-Jan,웨스트게이트타워,Y,웨스트게이트타워,2020-10-07
28,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 충정로50,골든브리지빌딩 지하1층 외부,10,,골든브리지빌딩,Y,골든브리지빌딩,2020-10-07
29,서대문구,"1,000㎡이상 건축물",폐쇄형,서울특별시 서대문구 서소문로21,충정타워 지하1층,15,,충정타워,Y,충정타워,2020-10-07
30,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 충정로8,종근당빌딩 1층 테라스,30,Jan-00,종근당,Y,종근당,2020-10-07
31,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 서소문로45,SK리쳄블 옥상,9,14-Jan,SK리쳄블,Y,SK리쳄블,2020-10-07
32,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 연희로142,대림통상 옥상,30,02-Jan,대림통상,Y,대림통상,2020-10-07
33,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 신촌로73,케이스퀘어 신촌빌딩 옥상,13,17-Oct,신촌빌딩,Y,신촌빌딩,2020-10-07
34,서대문구,"1,000㎡이상 건축물",완전개방형,서울특별시 서대문구 연희로407,백련빌딩 옥상,5,,백련빌딩,Y,백련빌딩,2020-10-07
35,서대문구,"1,000㎡이상 건축물",완전개방형,서울특별시 서대문구 신촌로231,백상빌딩 옥상,6,18-Jun,백상빌딩,Y,백상빌딩,2020-10-07
36,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 신촌로183,유인빌딩 2층 외부,7,17-Oct,유인빌딩,Y,유인빌딩,2020-10-07
37,서대문구,"1,000㎡이상 건축물",완전개방형,서울특별시 서대문구 신촌로113,YBM옥상,15,18-Mar,YBM,Y,YBM,2020-10-07
38,서대문구,"1,000㎡이상 건축물",폐쇄형,서울특별시 서대문구 충정로23,풍산빌딩 1층 화단 옆,18,12-Jan,풍산빌딩,Y,풍산빌딩,2020-10-07
39,서대문구,"1,000㎡이상 건축물",개방형,서울특별시 서대문구 연세로13,현대백화점 유플렉스 신촌점 옥상,25,,현대백화점,Y,현대백화점,2020-10-07
40,서대문구,대규모점포,개방형,서울특별시 서대문구 신촌로83,현대백화점 신촌점 옥상,100,,현대백화점,Y,현대백화점,2020-10-07
