연번,시설명,설치위치,행정동,설치 및 관리 주체
1,스마트 흡연부스(디타워 앞),서울특별시 성동구 성수동1가 686-709,성수1가제1동,성동구보건소
2,스마트 흡연부스(서울숲 포휴 앞),서울특별시 성동구 성수동1가 656-3,성수1가제1동,성동구보건소
3,스마트 흡연부스(왕십리역 6번 출구 뒤),서울특별시 성동구 행당동 1-182,행당제1동,성동구보건소
4,스마트 흡연부스(세신빌딩 뒤),서울특별시 성동구 도선동 58-1,왕십리도선동,성동구보건소
5,스마트 흡연부스(성수역 3번 출구),서울특별시 성동구 성수동2가 276-5,성수2가제3동,성동구보건소
6,스마트 흡연부스(한라시그마밸리 뒤),서울특별시 성동구 성수동2가 325-2,성수2가제1동,성동구보건소
7,스마트 흡연부스(아크밸리 앞),서울특별시 성동구 성수동2가 277-43,성수2가제3동,성동구보건소
8,스마트 흡연부스(성수역 SKV1타워 앞),서울특별시 성동구 성수동2가 315-61,성수2가제3동,성동구보건소
9,스마트 흡연부스(서울숲IT밸리 앞),서울특별시 성동구 성수동1가 13-164,성수1가제2동,성동구보건소
10,스마트 흡연부스(SKV1 화양사거리),서울특별시 성동구 성수동2가 280,성수2가제3동,성동구보건소
