업종,흡연시설구분,흡연시설형태,상호명,시도명,시군구명,소재지도로명주소,데이터기준일자
청사,실외,개방형,서부경찰서,서울특별시,은평구,진흥로 85,2024-01-02
청사,실외,폐쇄형,서울기록원,서울특별시,은평구,통일로62길 7,2024-01-02
청사,실외,개방형,은평경찰서,서울특별시,은평구,불광로 20,2024-01-02
청사,실외,폐쇄형,은평경찰서,서울특별시,은평구,불광로 20,2024-01-02
청사,실외,개방형,진관동주민센터,서울특별시,은평구,진관2로 31,2024-01-02
청사,실외,개방형1,은평구청,서울특별시,은평구,은평로195,2024-01-02
청사,실외,개방형2,은평구청,서울특별시,은평구,은평로195,2024-01-02
청사,실외,폐쇄형,은평구청,서울특별시,은평구,은평로195,2024-01-02
청사,실외,개방형1,은평소방서,서울특별시,은평구,진관동120,2024-01-02
청사,실외,개방형2,은평소방서,서울특별시,은평구,진관동120,2024-01-02
의료기관,실외,개방형,은평병원,서울특별시,은평구,백련산로 90,2024-01-02
의료기관,실외,폐쇄형,가톨릭은평성모병원,서울특별시,은평구,통일로 1021,2024-01-02
의료기관,실외,개방형1,서북병원,서울특별시,은평구,갈현로7길 49,2024-01-02
의료기관,실외,개방형2,서북병원,서울특별시,은평구,갈현로7길 49,2024-01-02
사무용복합건축물,실외,개방형,비스포레스포츠센터,서울특별시,은평구,통일로 842,2024-01-02
사무용복합건축물,실외,개방형,정원빌딩,서울특별시,은평구,진흥로 235,2024-01-02
사무용복합건축물,실외,개방형,한국환경산업개발원,서울특별시,은평구,진흥로215,2024-01-02
사무용복합건축물,실외,폐쇄형,한국환경산업개발원,서울특별시,은평구,진흥로215,2024-01-02
사무용복합건축물,실내,폐쇄형,동양사우나,서울특별시,은평구,가좌로7길 11,2024-01-02
사무용복합건축물,실외,개방형,삼성전자디지털센터,서울특별시,은평구,통일로 760,2024-01-02
사무용복합건축물,실외,개방형,파악불가,서울특별시,은평구,진관2로 15-8,2024-01-02
사무용복합건축물,실외,개방형,LG Bestshop 불광점,서울특별시,은평구,불광로 41,2024-01-02
게임제공업소,실내,폐쇄형,웹시티PC방,서울특별시,은평구,통일로 731,2024-01-02
게임제공업소,실내,폐쇄형,긱스타PC CAFE,서울특별시,은평구,연서로32길3,2024-01-02
게임제공업소,실내,폐쇄형,제로100PC 은평구청점,서울특별시,은평구,은평로 192,2024-01-02
게임제공업소,실내,폐쇄형,집(ZIP)PC CLUB,서울특별시,은평구,증산로7길 16,2024-01-02
게임제공업소,실내,폐쇄형,하늘PC,서울특별시,은평구,통일로 855-20,2024-01-02
게임제공업소,실내,폐쇄형,탐스PC카페(응암점),서울특별시,은평구,응암로 247,2024-01-02
게임제공업소,실내,폐쇄형,피씨앤푸드 녹번점,서울특별시,은평구,은평로 187-1,2024-01-02
게임제공업소,실내,폐쇄형,긱스타PC방,서울특별시,은평구,갈현로 39-1,2024-01-02
게임제공업소,실내,폐쇄형,토마토PC방,서울특별시,은평구,서오릉로 178,2024-01-02
게임제공업소,실내,폐쇄형,알파PC방,서울특별시,은평구,통일로 850,2024-01-02
게임제공업소,실내,폐쇄형,인터쿨,서울특별시,은평구,진흥로 112,2024-01-02
게임제공업소,실내,폐쇄형,제로100PC 신사동점,서울특별시,은평구,은평로 5,2024-01-02
게임제공업소,실내,폐쇄형,아즈텍 PC방,서울특별시,은평구,통일로 697,2024-01-02
게임제공업소,실내,폐쇄형,N톡PC,서울특별시,은평구,서오릉로 192,2024-01-02
게임제공업소,실내,폐쇄형,더조은PC카페,서울특별시,은평구,갈현로 188,2024-01-02
게임제공업소,실내,폐쇄형,고릴라PC방(역촌역점),서울특별시,은평구,서오릉로 77,2024-01-02
게임제공업소,실내,폐쇄형,제노 PC방,서울특별시,은평구,연서로 320,2024-01-02
게임제공업소,실내,폐쇄형,아이세븐 PC,서울특별시,은평구,연서로 213,2024-01-02
게임제공업소,실내,폐쇄형,고릴라 응암1호점,서울특별시,은평구,은평로 136,2024-01-02
게임제공업소,실내,폐쇄형,G카페PC,서울특별시,은평구,통일로 855-20,2024-01-02
게임제공업소,실내,폐쇄형,플렉스PC,서울특별시,은평구,진흥로 144,2024-01-02
게임제공업소,실내,폐쇄형,WIN PC,서울특별시,은평구,역말로 82,2024-01-02
게임제공업소,실내,폐쇄형1,퀸PC방,서울특별시,은평구,연서로 247,2024-01-02
게임제공업소,실내,폐쇄형2,퀸PC방,서울특별시,은평구,연서로 247,2024-01-02
게임제공업소,실내,폐쇄형,메트로PC방,서울특별시,은평구,진관2로 15-46,2024-01-02
게임제공업소,실내,폐쇄형1,데스티니PC,서울특별시,은평구,갈현로 14,2024-01-02
