연번,자치구명,해당동,시설형태,추가시설,설치위치,규모,설치주체,청소관리,설치일자
1,서초구청,서초4동,개방형흡연구역,,교보타워(강남대로 465) 부지주차장 진입로 옆,75㎡,교보타워,교보타워,2012-04-26
2,서초구청,양재1동,개방형흡연구역,,강남대로 213 엘타워 뒤 주차장 진입로 옆,76.5㎡,엘타워,엘타워,2015-04-18
3,서초구청,양재1동,부분개방형흡연실,,서울가정행정법원 청사 출입계단 밑,4㎡,서울가정법원,서울가정법원,2015-06-08
4,서초구청,반포4동,부분개방형흡연구역,,고속버스터미널역 3번출구 앞,25㎡,센트럴시티,센트럴시티,2018-03-16
5,서초구청,서초2동,개방형흡연부스,,강남역 7번 출구와 8번출구 사이 보도 서초동 1319-5 앞,50㎡,서초구보건소,청소행정과,2018-08-28
6,서초구청,방배1동,개방형흡연부스,,방배역 3번출구 먹자골목 입구방배동 910-9 옆,6㎡,서초구보건소,청소행정과,2019-04-03
7,서초구청,서초2동,개방형흡연부스,,서초대로 78길 24 서초동 1327-5 스타벅스 앞,3.75㎡,서초구보건소,청소행정과,2019-04-23
8,서초구청,서초2동,개방형흡연부스,,서초대로 78길 42 서초동 1330-18 현대기림오피스텔 앞,3.75㎡,서초구보건소,청소행정과,2019-04-23
9,서초구청,방배2동,개방형흡연부스,,방배천복개도로 명동칼국수(방배동 450-14) 앞,9㎡,서초구보건소,청소행정과,2019-04-26
10,서초구청,서초2동,라인형흡연구역,,서희타워(서초동1366-4) 옆 이면도로,9㎡,서초구보건소,서희빌딩,2019-06-24
11,서초구청,반포4동,부분개방형흡연부스,,센트럴시티 호남선 출입구 옆,36㎡,센트럴시티,센트럴시티,2019-08-21
12,서초구청,양재2동,개방형흡연부스,,원지동 23 서초종합체육센터 입구,6㎡,서초구보건소,서초종합체육관,2019-11-15
13,서초구청,반포4동,부분개방형흡연부스,,센트럴시티 경부선 하차장 옆,36㎡,센트럴시티,센트럴시티,2019-11-16
14,서초구청,반포4동,개방형흡연구역,,센트럴시티 경부선 건물 남쪽 외부 공간,30㎡,센트럴시티,센트럴시티,2019-11-16
15,서초구청,서초2동,폐쇄형흡연부스,환풍기 설치,서초구청 주차장 자판기 옆,10㎡,서초구청,행정지원과,2020-04-21
16,서초구청,방배2동,개방형흡연부스,,방배동 438-38(서울시공공자전거 수리센터  앞) ,8.1㎡,서초구보건소,청소행정과,2020-05-12
17,서초구청,방배2동,개방형흡연부스,,방배천복개도로 방배경찰서방배동 455-10 앞,9㎡,서초구보건소,청소행정과,2020-05-28
18,서초구청,방배2동,개방형흡연부스,,방배천복개도로 그린골프장방배동 452-1 앞,8.1㎡,서초구보건소,청소행정과,2020-05-28
19,서초구청,양재1동,라인형흡연구역,,강남대로 221 양재환승주차장 세븐일레븐 편의점 옆,10㎡,우리동성개발,우리동성개발,2020-06-04
20,서초구청,양재1동,비대면흡연부스,,양재천로21길 29 앞 녹지 사이 보도,2㎡,서초구보건소,건강정책과,2020-12-01
21,서초구청,양재1동,라인형흡연구역,,바우뫼로 128 비스텔타워 후면 전신주 주변,6㎡,서초구보건소,건강정책과,2020-12-01
22,서초구청,양재2동,라인형흡연구역,,양재동 261-22 양재천 족구장 기존 흡연구역,6㎡,서초구보건소,건강정책과,2020-12-01
