연번,위반내용,부과금액,위반장소,위반일시
1,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-03 11:07:00
2,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-03 11:09:00
3,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-03 11:10:00
4,금연구역에서 흡연,100000, 건물,2022-01-04 11:20:00
5,금연구역에서 흡연,100000, 건물,2022-01-04 11:21:00
6,금연구역에서 흡연,100000, 지하철역출입구,2022-01-05 11:42:00
7,금연구역에서 흡연,100000, 건물,2022-01-05 11:44:00
8,금연구역에서 흡연,50000, 청사,2022-01-05 12:55:00
9,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-05 14:57:00
10,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-05 15:01:00
11,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-06 11:19:00
12,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-06 11:20:00
13,금연구역에서 흡연,50000, 강남대로,2022-01-06 11:24:00
14,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-07 12:53:00
15,금연구역에서 흡연,100000, PC방,2022-01-07 12:54:00
16,금연구역에서 흡연,100000, PC방,2022-01-07 12:57:00
17,금연구역에서 흡연,100000, 덕명빌딩 건물,2022-01-07 15:24:00
18,금연구역에서 흡연,100000, 도곡동 금연거리,2022-01-10 11:30:00
19,금연구역에서 흡연,100000, PC방,2022-01-11 15:17:00
20,금연구역에서 흡연,100000, 휴게음식점,2022-01-11 15:31:00
21,금연구역에서 흡연,100000, 휴게음식점,2022-01-11 15:31:00
22,금연구역에서 흡연,100000, 어나더 휴게음식점 ,2022-01-11 15:33:00
23,금연구역에서 흡연,100000, 건물,2022-01-12 15:12:00
24,금연구역에서 흡연,50000, 건물,2022-01-12 15:34:00
25,금연구역에서 흡연,50000, 건물,2022-01-12 15:56:00
26,금연구역에서 흡연,100000, 건물,2022-01-13 14:13:00
27,금연구역에서 흡연,100000, 건물,2022-01-13 15:25:00
28,금연구역에서 흡연,100000, 교육기관,2022-01-14 14:32:00
29,공동주택의 금연구역에서 흡연,100000, 건물,2022-01-14 15:32:00
30,금연구역에서 흡연,100000, 건물,2022-01-17 13:52:00
31,금연구역에서 흡연,100000, 건물,2022-01-17 13:53:00
32,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-18 11:25:00
33,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-18 11:27:00
34,금연구역에서 흡연,100000, PC방,2022-01-18 11:29:00
35,금연구역에서 흡연,100000, PC방,2022-01-18 11:31:00
36,금연구역에서 흡연,100000, 건물,2022-01-19 10:59:00
37,금연구역에서 흡연,100000, 건물,2022-01-19 11:00:00
38,금연구역에서 흡연,100000, 건물,2022-01-19 11:01:00
39,금연구역에서 흡연,100000, 건물,2022-01-19 11:03:00
40,금연구역에서 흡연,100000, 건물,2022-01-20 13:36:00
41,금연구역에서 흡연,50000, 건물,2022-01-20 13:38:00
42,금연구역에서 흡연,100000, 버스정류장,2022-01-20 13:39:00
43,금연구역에서 흡연,100000, 건물,2022-01-20 13:40:00
44,금연구역에서 흡연,100000, 건물,2022-01-20 13:42:00
45,금연구역에서 흡연,100000, 건물,2022-01-20 13:43:00
46,금연구역에서 흡연,100000, 대규모점포,2022-01-21 11:03:00
47,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-21 11:05:00
48,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-21 11:06:00
49,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-01-21 11:08:00
50,금연구역에서 흡연,100000, 지하철역출입구,2022-01-21 11:09:00
51,금연구역에서 흡연,100000, 건물,2022-01-25 15:08:00
52,금연구역에서 흡연,100000, 지하철역출입구,2022-01-25 15:25:00
53,금연구역에서 흡연,100000, 건물,2022-01-25 15:32:00
54,금연구역에서 흡연,50000, 건물,2022-01-25 15:34:00
55,금연구역에서 흡연,100000, PC방,2022-01-26 15:39:00
56,금연구역에서 흡연,100000, PC방,2022-01-26 15:40:00
57,금연구역에서 흡연,100000, 휴게음식점,2022-01-26 18:51:00
58,금연구역에서 흡연,100000, 교육기관,2022-01-27 15:04:00
59,금연구역에서 흡연,50000, 버스정류장,2022-01-27 15:05:00
60,금연구역에서 흡연,100000, 건물,2022-01-27 17:28:00
61,금연구역에서 흡연,100000, 영동대로,2022-01-27 17:56:00
62,금연구역에서 흡연,100000, 건물,2022-01-28 12:36:00
63,금연구역에서 흡연,100000, PC방,2022-02-04 11:04:00
64,금연구역에서 흡연,100000, PC방,2022-02-04 11:05:00
65,금연구역에서 흡연,100000, PC방,2022-02-04 11:06:00
66,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-02-07 10:39:00
67,금연구역에서 흡연,100000, 도곡중학교금연거리,2022-02-07 13:16:00
68,금연구역에서 흡연,100000, 영동대로,2022-02-07 13:17:00
