자치구,시설 구분,시설형태,설치 위치,규모,설치일,설치 주체,관리여부,관리
강서구,청사,개방형,화곡로 302 강서구청 주차장 뒤편,25,2017-07,강서구청,여,강서구청
강서구,공연장,개방형,우장산로 66 강서구민회관 1층,7,2018-01,강서구청,여,강서구시설관리공단
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,공항대로 213 보타닉 파크타워 옥상,5,2018-07,마곡보타닉파크타워,여,마곡보타닉파크타워
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 3길 79 옥상,10,,FITI 시험연구원,여,FITI 시험연구원
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 1길 62 옥상,7,,(주)라파스,여,(주)라파스
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙8로 3길 53 옥상,8.5,,메인텍,여,메인텍
강서구,연면적 1000㎡ 이상 대형건물,개방형,강서로 443 마곡대명투웨니퍼스트 옥상,10,2018-01,마곡대명투웨니퍼스트,여,마곡대명투웨니퍼스트
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,강서로 449 벨리오 오피스텔 옥상,10,2017-12,벨리오 오피스텔,여,벨리오 오피스텔
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡서로 170 1층  후문,10,2016-04,마곡시티 오피스텔,여,마곡시티 오피스텔
강서구,연면적 1000㎡ 이상 대형건물,완전개방형,마곡중앙5로 1길 25 1층 후문,20,2016-05,마곡헤리움 시티2차,여,마곡헤리움 시티2차
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙 8로 1길 16 1층 2곳,5,,웰스바이오㈜,여,웰스바이오㈜
강서구,연면적 1000㎡ 이상 대형건물,폐쇄형,강서구 마곡중앙로 201 주차장 옆,10,2017-06,롯데중앙연구소,여,롯데중앙연구소
강서구,연면적 1000㎡ 이상 대형건물,개방형,마곡중앙로 150 옥상,30,2018-02,에스앤아이 강서,여,에스앤아이 강서(디엔오)
강서구,체육시설,개방형,양천로 251 마곡실내배드민턴장 1층 추자창 뒤편,8.5,2018-12,강서구청,여,강서구시설관리공단
강서구,체육시설,개방형,하늘길 233 골프연습장,3,2016-03,영업주체,여,영업주체(쇼골프)
강서구,음식점,완전개방형,마곡중앙6로 65 지투프라자 3층,10,2019-05,영업주체,여,영업주체(엘피빠까페서울)
강서구,음식점,완전개방형,마곡중앙6로 69 3층,10,,영업주체,여,영업주체(다옴)
강서구,항공시설,폐쇄형,"하늘길 111, 김포공항화물청사 1층 옥외의 일부",,,영업주체(공항공사),여,영업주체(공항공사)
강서구,항공시설,폐쇄형,"하늘길 38, 김포공항국제선 옥외의 일부",,,영업주체(공항공사),여,영업주체(공항공사)
강서구,항공시설,폐쇄형,"하늘길 111, 김포공항국내선 옥외의 일부",,,영업주체(공항공사),여,영업주체(공항공사)
