연번,구분,시설명,영업소소재지(도로 명),실외     실내,흡연실 형태
1,청사,광진경찰서,광진구 자양로 167,실외,완전폐쇄형
2,청사,광진경찰서,광진구 자양로 167,실외,완전폐쇄형
3,청사,광진소방서,광진구 광나루로 480,실외,개방형
4,청사,광진소방서,광진구 광나루로 481,실외,개방형
5,청사,광진우편집중국,광진구 자양로 76,실외,개방형
6,청사,광진우편집중국,광진구 자양로 77,실외,개방형
7,청사,광진우편집중국,광진구 자양로 78,실외,개방형
8,청사,광진우편집중국,광진구 자양로 79,실외,개방형
9,청사,광진우편집중국,광진구 자양로 80,실외,개방형
10,청사,광진우편집중국,광진구 자양로 81,실외,개방형
11,청사,광진우편집중국,광진구 자양로 82,실외,개방형
12,청사,광진우체국, 광진구 구의동 587,실외,개방형
13,청사,광진구청 , 광진구 자양1동777,실외,개방형
14,청사,광진구청 , 광진구 자양1동778,실외,개방형
15,청사,광진구청 , 광진구 자양1동779,실외,개방형
16,청사,화양동 주민자치센터, 광진구 화양동 132-68,실외,개방형
17,청사,서울시 물연구원,광진구 천호대로 716-10,실외,개방형
18,청사,서울시 물연구원,광진구 천호대로 716-11,실외,개방형
19,청사,서울시 물연구원,광진구 천호대로 716-12,실외,개방형
20,청사,서울시 물연구원,광진구 천호대로 716-13,실외,개방형
21,청사,화양지구대,능동로17길39,실외,개방형
22,청사,광나루지구대,아차산로 567,실외,개방형
23,청사,능동119안전센터,능동로242,실외,개방형
24,청사,구의119안전센터,광나루로480,실외,개방형
25,청사,구의120안전센터,광나루로481,실외,개방형
26,청사,뚝섬 수난구조대,광진구 강변북로 26,실외,개방형
27,청사,아차산배수지체육공원,천호대로 731,실외,완전폐쇄형
28,청사,보건복지행정타운,서울 광진구 용마산로 127,실외,완전개방
29,대학교,세종대학교,능동로 209,실외,개방형
30,대학교,세종대학교,능동로 210,실외,개방형
31,대학교,세종대학교,능동로 211,실외,개방형
32,대학교,세종대학교,능동로 212,실외,개방형
33,대학교,세종대학교,능동로 213,실외,개방형
34,대학교,세종대학교,능동로 214,실외,개방형
35,대학교,세종대학교,능동로 215,실외,개방형
36,대학교,세종대학교,능동로 216,실외,개방형
37,대학교,건국대학교,1 행정관 뒤(사범대학방향 계단옆),실외,개방형
38,대학교,건국대학교,2 경영관 뒤,실외,완전폐쇄형 
39,대학교,건국대학교,5 예술문화관 뒤,실외,완전폐쇄형 
40,대학교,건국대학교,9 상허기념도서관 동측,실외,개방형
41,대학교,건국대학교,11 생명과학관 뒤,실외,개방형
42,대학교,건국대학교,8 법학관 앞,실외,개방형
43,대학교,건국대학교,14 산학협동관 주차장,실외,개방형
44,대학교,건국대학교,15 수의학관 주차장,실외,개방형
45,대학교,건국대학교,16 새천년관 지하2층 출입문 옆,실외,완전폐쇄형
46,대학교,건국대학교,"17 건축관 앞, 18해봉부동산확과 뒤",실외,개방형
47,대학교,건국대학교,19 인문학관,실외,개방형
48,대학교,건국대학교,21 공학관 중앙정원,실외,완전폐쇄형
49,대학교,건국대학교,21 공학관 C동 뒤,실외,개방형
50,대학교,건국대학교,22 신공학관 앞,실외,완전폐쇄형
51,대학교,건국대학교,23 신공학관 앞,실외,개방형
52,대학교,건국대학교,23 과학관 북측,실외,완전폐쇄형
53,대학교,건국대학교,26 쿨하우스 뒤,실외,개방형
54,대학교,건국대학교,황소상공원 앞(누렁),실외,개방형
55,대학교,건국대학교,황소상공원 앞(검정),실외,개방형
56,대학교,건국대학교,황소상공원 앞(검정),실외,개방형
57,대학교,건국대학교,황소상공원 앞(검정),실외,개방형
58,병원 ,경희생생한방병원,"서울특별시 광진구 동일로 82-1, 생생한방병원 지하1~5층 (자양동)",실외,개방형
59,병원 ,서울프라임병원,"서울특별시 광진구 동일로 92-1, B1~2, 3~7층 (자양동)",실외,개방형
60,병원 ,국립정신건강센터,서울특별시 광진구 용마산로 127,실외,개방형
61,공연장,세종대학교 대양홀,능동로 209,실외 ,완전 개방형
62,공연장,유니버설아트센터,천호대로 664,실내 ,완전 폐쇄형
63,공연장,건국대학교새천년관 대공연장,능동로 120,실외,완전폐쇄형
64,공연장,세종대학교 학생회관 대공연장,능동로 209,실외,완전폐쇄형
65,대규모점포  ,이마트 자양점,아차산로 272(자양동)(지하 1층),실외,개방형
66,대규모점포  ,롯데백화점 건대스타시티점,능동로 92(자양동)(지하6~지상10),실외,개방형
67,대규모점포  ,커먼그라운드,아차산로 200  (자양동)(지하1~지상4),실외 ,폐쇄형
68,대규모점포  ,커먼그라운드,아차산로 200  (자양동)(지하1~지상5),실외 ,폐쇄형
69,대규모점포  ,커먼그라운드,아차산로 200  (자양동)(지하1~지상6),실외 ,폐쇄형
70,대규모점포  ,테크노마트21,광나루로56길  85(구의동)(지하1~지상9),실외,완전개방
71,대규모점포  ,테크노마트22,광나루로56길  85(구의동)(지하1~지상10),실외,완전개방
72,대규모점포  ,테크노마트23,광나루로56길  85(구의동)(지하1~지상11),실외,완전개방
73,대규모점포  ,테크노마트24,광나루로56길  85(구의동)(지하1~지상12),실외,완전개방
74,대규모점포  ,테크노마트25,광나루로56길  85(구의동)(지하1~지상13),실외,완전개방
75,관광숙박업소,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 177 ,실외,폐쇄형
76,관광숙박업소,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 178 ,실외,완전폐쇄형
77,관광숙박업소,서울특별시 광진구 능동로 90 ,,실외,완전폐쇄형
78,관광숙박업소,호텔더디자이너스건대,서울특별시 광진구 천호대로 521,실외,완전폐쇄형
79,관광숙박업소,호텔컬리넌건대2,서울특별시 광진구 동일로 214 ,실외,완전폐쇄형
80,관광숙박업소,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 172,실외,개방형
81,관광숙박업소,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 173,실외,개방형
82,목욕장업,매일온천탕,서울특별시 광진구 자양로53길 109 (중곡동),실내 ,완전폐쇄형
83,목욕장업,실로암 목욕장,"서울특별시 광진구 용마산로 171, 지하1~지상2층 (중곡동)",실내 ,완전폐쇄형
84,목욕장업,실로암 목욕장,"서울특별시 광진구 용마산로 171, 지하1~지상3층 (중곡동)",실내 ,완전폐쇄형
85,목욕장업,프라임 노다지 사우나,"서울특별시 광진구 광나루로56길 63, 지층 (구의동, 프라임프라자상가)",실내 ,완전폐쇄형
86,목욕장업,프라임 노다지 사우나,"서울특별시 광진구 광나루로56길 64, 지층 (구의동, 프라임프라자상가)",실내 ,완전폐쇄형
87,목욕장업,한빛대중사우나,"서울특별시 광진구 용마산로 44, 지하1층 (중곡동)",실내 ,완전폐쇄형
88,목욕장업,칠산레져대중사우나,서울특별시 광진구 자양로 135 (자양동),실내 ,완전폐쇄형
89,목욕장업,강변스파랜드 24시 불가마,서울특별시 광진구 구의강변로 45 (구의동),실내 ,완전폐쇄형
90,목욕장업,강변스파랜드 25시 불가마,서울특별시 광진구 구의강변로 46 (구의동),실내 ,완전폐쇄형
91,일반음식점,명월관,서울특별시 광진구 워커힐로 177 (광장동),실내,완전폐쇄형
92,일반음식점,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),실외,완전개방형
93,일반음식점,신선설농탕,"서울특별시 광진구 천호대로 813 (광장동,7,8,9 호 1F)",실외,완전개방형
